{'loss': 0.7587, 'learning_rate': 9.763948497854078e-06, 'epoch': 2.54}                                                                                                                                         
{'loss': 0.7511, 'learning_rate': 9.495708154506438e-06, 'epoch': 2.55}                                                                                                                                         
{'loss': 0.6991, 'learning_rate': 9.227467811158799e-06, 'epoch': 2.56}                                                                                                                                         
{'loss': 0.7039, 'learning_rate': 8.95922746781116e-06, 'epoch': 2.58}                                                                                                                                          
{'loss': 0.7029, 'learning_rate': 8.690987124463519e-06, 'epoch': 2.59}                                                                                                                                         
{'loss': 0.6851, 'learning_rate': 8.42274678111588e-06, 'epoch': 2.6}                                                                                                                                           
{'loss': 0.707, 'learning_rate': 8.154506437768241e-06, 'epoch': 2.61}                                                                                                                                          
{'loss': 0.6738, 'learning_rate': 7.8862660944206e-06, 'epoch': 2.63}                                                                                                                                           
{'loss': 0.7025, 'learning_rate': 7.618025751072961e-06, 'epoch': 2.64}                                                                                                                                         
{'loss': 0.6943, 'learning_rate': 7.349785407725322e-06, 'epoch': 2.65}                                                                                                                                         
{'loss': 0.6878, 'learning_rate': 7.0815450643776825e-06, 'epoch': 2.66}                                                                                                                                        
{'loss': 0.6934, 'learning_rate': 6.8133047210300435e-06, 'epoch': 2.68}                                                                                                                                        
{'loss': 0.7012, 'learning_rate': 6.5450643776824046e-06, 'epoch': 2.69}                                                                                                                                        
{'loss': 0.6866, 'learning_rate': 6.276824034334765e-06, 'epoch': 2.7}                                                                                                                                          
{'loss': 0.6847, 'learning_rate': 6.008583690987125e-06, 'epoch': 2.72}                                                                                                                                         
{'loss': 0.7254, 'learning_rate': 5.740343347639485e-06, 'epoch': 2.73}                                                                                                                                         
{'loss': 0.722, 'learning_rate': 5.472103004291846e-06, 'epoch': 2.74}                                                                                                                                          
{'loss': 0.6866, 'learning_rate': 5.203862660944206e-06, 'epoch': 2.75}                                                                                                                                         
{'loss': 0.6852, 'learning_rate': 4.935622317596566e-06, 'epoch': 2.77}                                                                                                                                         
{'loss': 0.6904, 'learning_rate': 4.667381974248927e-06, 'epoch': 2.78}                                                                                                                                         
{'loss': 0.7111, 'learning_rate': 4.3991416309012875e-06, 'epoch': 2.79}                                                                                                                                        
{'loss': 0.6863, 'learning_rate': 4.1309012875536485e-06, 'epoch': 2.8}                                                                                                                                         
{'loss': 0.7044, 'learning_rate': 3.8626609442060095e-06, 'epoch': 2.82}                                                                                                                                        
{'loss': 0.7035, 'learning_rate': 3.5944206008583692e-06, 'epoch': 2.83}                                                                                                                                        
{'loss': 0.6703, 'learning_rate': 3.32618025751073e-06, 'epoch': 2.84}                                                                                                                                          
{'loss': 0.686, 'learning_rate': 3.0579399141630904e-06, 'epoch': 2.86}                                                                                                                                         
{'loss': 0.713, 'learning_rate': 2.789699570815451e-06, 'epoch': 2.87}                                                                                                                                          
